Recommended_Course,KCSE_Score,Grade9_Score,Grade6_Score,Grade3_Score,Interpersonal_Score,Intrapersonal_Score,Bodily_Activeness,Logical_Reasoning,STEM_Score,Languages_Score,Humanities_Score
BSc in Software Engineering,81,73,94,82,76,82,75,75,81,64,67
BBA in Business Administration,72,70,75,94,92,66,65,64,71,70,71
BSc in Biochemistry,61,62,70,88,61,94,78,90,82,67,70
BSc in Chemistry,61,60,71,87,59,65,64,85,78,72,61
BSc in Mathematics and Computing,73,52,72,86,52,84,71,81,82,63,69
BSc in Computer Science,75,73,76,88,81,87,55,95,82,63,63
BSc in Microbiology,61,54,60,97,77,75,87,80,80,61,71
BEng in Engineering,80,80,90,98,52,91,93,84,82,64,70
BSc in Physics,71,64,65,82,76,81,67,92,82,74,72
BSc in Applied Statistics and computer science,75,71,61,85,76,90,63,84,82,63,73
BSc in Computer Science,79,69,72,93,50,77,52,76,81,62,67
BSc in Physics with Astronomy,68,54,71,93,60,82,54,84,83,60,67
BEng in Civil and structural Engineering,82,76,85,82,69,78,81,77,84,64,70
BA in Fine Arts,56,60,74,85,89,50,69,73,74,65,83
BA in Political Science,53,54,74,85,87,80,65,64,68,70,78
LLB in Law,58,58,71,84,92,81,52,69,60,63,79
BArch in Architecture,62,53,66,92,61,95,72,60,69,63,69
BSc in Data Science,80,73,65,88,54,86,71,86,78,63,68
MBBS in Medicine,83,83,86,93,55,78,91,87,77,65,63
BSc in Software Engineering,82,78,88,93,55,82,82,82,75,64,72
BSc in Physics,64,65,68,94,64,84,72,87,79,71,73
BSc in Appplied Physics and Computer Science,75,69,75,83,73,85,71,85,80,70,70
BSc in Computer Science,75,73,76,92,75,95,72,85,83,63,73
BSc in Applied Physics,70,55,68,94,53,87,71,92,78,66,71
BSc in Maths and Statistics,64,64,63,85,55,92,75,83,77,62,63
BBA in Business Administration,65,70,73,97,89,66,62,60,74,64,62
BA in Mass Communication,55,67,78,91,90,57,57,50,66,84,61
LLB in Law,56,65,60,87,88,76,52,75,61,71,80
BSc in Computer Science,73,67,65,96,55,90,68,88,78,64,61
MBBS in Medicine,81,74,80,89,51,89,91,90,80,65,70
BBA in Business Administration,64,67,70,87,91,53,64,66,68,72,63
BA in Political Science,58,54,78,89,93,95,56,65,61,71,75
BSc in Chemistry,60,60,64,86,85,75,68,95,78,71,74
BBA in Business Administration,64,73,73,95,90,78,65,80,68,61,72
BEng in Engineering,82,74,79,89,57,81,75,90,83,73,63
BArch in Architecture,73,63,77,88,57,90,69,51,71,65,67
BSc in Software Engineering,79,80,76,94,70,76,93,77,77,66,61
BSc in Data Science,80,72,65,94,56,75,72,78,75,70,64
BSc in Astronomy,63,67,69,82,82,85,72,69,61,62,68
LLB in Law,53,59,67,81,76,56,57,65,67,71,83
BSc in Computer Science,78,67,75,86,83,77,55,88,77,67,65
BBA in Business Administration,62,67,61,95,76,79,58,67,70,68,62
BSc in Mechanical Engineering,78,76,90,86,79,94,90,90,76,66,69
BEng in Chemical Engineering,79,75,88,87,60,80,82,81,78,67,72
Bsc in Telecommunication Engineering,78,75,85,94,84,79,80,77,75,84,69
BSc in Computer security and Forensics,78,71,63,86,83,93,50,95,82,68,68
BSc in Computer Science,73,70,75,88,76,82,59,95,81,64,60
BSc in Physics,73,62,78,90,52,81,56,87,80,62,65
BEng in Civil and structural Engineering,80,75,79,82,60,79,91,81,82,60,60
BBA in Business Administration,64,73,67,96,88,60,60,70,74,69,68
BSc in BioChemistry,65,53,63,81,70,94,88,76,76,65,63
BSc in Clinical Medicine,84,79,75,81,82,91,95,84,76,70,71
